1680681600,1,23
1680681900,2,15
1680682200,3,42
1680682500,1,18
1680682800,4,31
1680683100,2,12
1680683400,3,57
1680683700,1,29
1680684000,2,10
1680684300,4,24
1680684600,3,39
1680684900,1,17
1680685200,4,19
1680685500,2,21
1680685800,3,48
1680686100,1,26
1680686400,2,16
1680686700,4,35
1680687000,3,52
1680687300,1,31
1680687600,2,11
1680687900,4,28
1680688200,3,45
1680688500,1,22
1680688800,2,18
1680689100,4,38
1680689400,3,61
1680689700,1,24
1680690000,2,13
1680690300,4,33
1680690600,3,49
1680690900,1,28
1680691200,2,14
1680691500,4,26
1680691800,3,41
1680692100,1,21
1680692400,2,17
1680692700,4,37
1680693000,3,54
1680693300,1,32
1680693600,2,12
1680693900,4,29
1680694200,3,47
1680694500,1,23
1680694800,2,15
1680695100,4,34
1680695400,3,51
1680695700,1,30
1680696000,2,10
1680696300,4,25
1680696600,3,40
1680696900,1,20
1680697200,2,16
1680697500,4,36
1680697800,3,58
1680698100,1,27
1680698400,2,13
1680698700,4,31
1680699000,3,46
1680699300,1,22
1680699600,2,11
